year,region,stem,optical_path,mask_path,DEM,EVI,FTI,LST,NBR,NDMI,NDVI,TCB,TCG,TCW,split
2023,中1区域数据集,151,data/2023/factors/光学遥感/中1区域数据集/images/000000000151.tif,data/2023/factors/光学遥感/中1区域数据集/labels/000000000151.tif,data/2023/factors/DEM/中1区域数据集/images/000000000151.tif,data/2023/factors/EVI/中1区域数据集/images/000000000151.tif,data/2023/factors/FTI/中1区域数据集/images/000000000151.tif,data/2023/factors/LST/中1区域数据集/images/000000000151.tif,data/2023/factors/NBR/中1区域数据集/images/000000000151.tif,data/2023/factors/NDMI/中1区域数据集/images/000000000151.tif,data/2023/factors/NDVI/中1区域数据集/images/000000000151.tif,data/2023/factors/TCB/中1区域数据集/images/000000000151.tif,data/2023/factors/TCG/中1区域数据集/images/000000000151.tif,data/2023/factors/TCW/中1区域数据集/images/000000000151.tif,train
2023,北2区域数据集,16,data/2023/factors/光学遥感/北2区域数据集/images/000000000016.tif,data/2023/factors/光学遥感/北2区域数据集/labels/000000000016.tif,data/2023/factors/DEM/北2区域数据集/images/000000000016.tif,data/2023/factors/EVI/北2区域数据集/images/000000000016.tif,data/2023/factors/FTI/北2区域数据集/images/000000000016.tif,data/2023/factors/LST/北2区域数据集/images/000000000016.tif,data/2023/factors/NBR/北2区域数据集/images/000000000016.tif,data/2023/factors/NDMI/北2区域数据集/images/000000000016.tif,data/2023/factors/NDVI/北2区域数据集/images/000000000016.tif,data/2023/factors/TCB/北2区域数据集/images/000000000016.tif,data/2023/factors/TCG/北2区域数据集/images/000000000016.tif,data/2023/factors/TCW/北2区域数据集/images/000000000016.tif,train
2023,北3区域数据集,1725,data/2023/factors/光学遥感/北3区域数据集/images/000000001725.tif,data/2023/factors/光学遥感/北3区域数据集/labels/000000001725.tif,data/2023/factors/DEM/北3区域数据集/images/000000001725.tif,data/2023/factors/EVI/北3区域数据集/images/000000001725.tif,data/2023/factors/FTI/北3区域数据集/images/000000001725.tif,data/2023/factors/LST/北3区域数据集/images/000000001725.tif,data/2023/factors/NBR/北3区域数据集/images/000000001725.tif,data/2023/factors/NDMI/北3区域数据集/images/000000001725.tif,data/2023/factors/NDVI/北3区域数据集/images/000000001725.tif,data/2023/factors/TCB/北3区域数据集/images/000000001725.tif,data/2023/factors/TCG/北3区域数据集/images/000000001725.tif,data/2023/factors/TCW/北3区域数据集/images/000000001725.tif,train
2023,北3区域数据集,3383,data/2023/factors/光学遥感/北3区域数据集/images/000000003383.tif,data/2023/factors/光学遥感/北3区域数据集/labels/000000003383.tif,data/2023/factors/DEM/北3区域数据集/images/000000003383.tif,data/2023/factors/EVI/北3区域数据集/images/000000003383.tif,data/2023/factors/FTI/北3区域数据集/images/000000003383.tif,data/2023/factors/LST/北3区域数据集/images/000000003383.tif,data/2023/factors/NBR/北3区域数据集/images/000000003383.tif,data/2023/factors/NDMI/北3区域数据集/images/000000003383.tif,data/2023/factors/NDVI/北3区域数据集/images/000000003383.tif,data/2023/factors/TCB/北3区域数据集/images/000000003383.tif,data/2023/factors/TCG/北3区域数据集/images/000000003383.tif,data/2023/factors/TCW/北3区域数据集/images/000000003383.tif,train
2023,北2区域数据集,2,data/2023/factors/光学遥感/北2区域数据集/images/000000000002.tif,data/2023/factors/光学遥感/北2区域数据集/labels/000000000002.tif,data/2023/factors/DEM/北2区域数据集/images/000000000002.tif,data/2023/factors/EVI/北2区域数据集/images/000000000002.tif,data/2023/factors/FTI/北2区域数据集/images/000000000002.tif,data/2023/factors/LST/北2区域数据集/images/000000000002.tif,data/2023/factors/NBR/北2区域数据集/images/000000000002.tif,data/2023/factors/NDMI/北2区域数据集/images/000000000002.tif,data/2023/factors/NDVI/北2区域数据集/images/000000000002.tif,data/2023/factors/TCB/北2区域数据集/images/000000000002.tif,data/2023/factors/TCG/北2区域数据集/images/000000000002.tif,data/2023/factors/TCW/北2区域数据集/images/000000000002.tif,train
2023,北3区域数据集,4212,data/2023/factors/光学遥感/北3区域数据集/images/000000004212.tif,data/2023/factors/光学遥感/北3区域数据集/labels/000000004212.tif,data/2023/factors/DEM/北3区域数据集/images/000000004212.tif,data/2023/factors/EVI/北3区域数据集/images/000000004212.tif,data/2023/factors/FTI/北3区域数据集/images/000000004212.tif,data/2023/factors/LST/北3区域数据集/images/000000004212.tif,data/2023/factors/NBR/北3区域数据集/images/000000004212.tif,data/2023/factors/NDMI/北3区域数据集/images/000000004212.tif,data/2023/factors/NDVI/北3区域数据集/images/000000004212.tif,data/2023/factors/TCB/北3区域数据集/images/000000004212.tif,data/2023/factors/TCG/北3区域数据集/images/000000004212.tif,data/2023/factors/TCW/北3区域数据集/images/000000004212.tif,train
2023,北2区域数据集,6287,data/2023/factors/光学遥感/北2区域数据集/images/000000006287.tif,data/2023/factors/光学遥感/北2区域数据集/labels/000000006287.tif,data/2023/factors/DEM/北2区域数据集/images/000000006287.tif,data/2023/factors/EVI/北2区域数据集/images/000000006287.tif,data/2023/factors/FTI/北2区域数据集/images/000000006287.tif,data/2023/factors/LST/北2区域数据集/images/000000006287.tif,data/2023/factors/NBR/北2区域数据集/images/000000006287.tif,data/2023/factors/NDMI/北2区域数据集/images/000000006287.tif,data/2023/factors/NDVI/北2区域数据集/images/000000006287.tif,data/2023/factors/TCB/北2区域数据集/images/000000006287.tif,data/2023/factors/TCG/北2区域数据集/images/000000006287.tif,data/2023/factors/TCW/北2区域数据集/images/000000006287.tif,train
2023,北3区域数据集,4206,data/2023/factors/光学遥感/北3区域数据集/images/000000004206.tif,data/2023/factors/光学遥感/北3区域数据集/labels/000000004206.tif,data/2023/factors/DEM/北3区域数据集/images/000000004206.tif,data/2023/factors/EVI/北3区域数据集/images/000000004206.tif,data/2023/factors/FTI/北3区域数据集/images/000000004206.tif,data/2023/factors/LST/北3区域数据集/images/000000004206.tif,data/2023/factors/NBR/北3区域数据集/images/000000004206.tif,data/2023/factors/NDMI/北3区域数据集/images/000000004206.tif,data/2023/factors/NDVI/北3区域数据集/images/000000004206.tif,data/2023/factors/TCB/北3区域数据集/images/000000004206.tif,data/2023/factors/TCG/北3区域数据集/images/000000004206.tif,data/2023/factors/TCW/北3区域数据集/images/000000004206.tif,train
2023,中1区域数据集,113,data/2023/factors/光学遥感/中1区域数据集/images/000000000113.tif,data/2023/factors/光学遥感/中1区域数据集/labels/000000000113.tif,data/2023/factors/DEM/中1区域数据集/images/000000000113.tif,data/2023/factors/EVI/中1区域数据集/images/000000000113.tif,data/2023/factors/FTI/中1区域数据集/images/000000000113.tif,data/2023/factors/LST/中1区域数据集/images/000000000113.tif,data/2023/factors/NBR/中1区域数据集/images/000000000113.tif,data/2023/factors/NDMI/中1区域数据集/images/000000000113.tif,data/2023/factors/NDVI/中1区域数据集/images/000000000113.tif,data/2023/factors/TCB/中1区域数据集/images/000000000113.tif,data/2023/factors/TCG/中1区域数据集/images/000000000113.tif,data/2023/factors/TCW/中1区域数据集/images/000000000113.tif,train
2023,北2区域数据集,3215,data/2023/factors/光学遥感/北2区域数据集/images/000000003215.tif,data/2023/factors/光学遥感/北2区域数据集/labels/000000003215.tif,data/2023/factors/DEM/北2区域数据集/images/000000003215.tif,data/2023/factors/EVI/北2区域数据集/images/000000003215.tif,data/2023/factors/FTI/北2区域数据集/images/000000003215.tif,data/2023/factors/LST/北2区域数据集/images/000000003215.tif,data/2023/factors/NBR/北2区域数据集/images/000000003215.tif,data/2023/factors/NDMI/北2区域数据集/images/000000003215.tif,data/2023/factors/NDVI/北2区域数据集/images/000000003215.tif,data/2023/factors/TCB/北2区域数据集/images/000000003215.tif,data/2023/factors/TCG/北2区域数据集/images/000000003215.tif,data/2023/factors/TCW/北2区域数据集/images/000000003215.tif,train
